Country,Year,GDP_per_capita,Female_Labor_Participation,Male_Labor_Participation,Female_Tertiary_Education,Male_Tertiary_Education,education_gap,labor_participation_gap,Region
Argentina,1995,9367.182020405162,63.78088028464218,80.97508099807158,20.61695553391381,16.9804561897718,3.6364993441420097,-17.194200713429396,South America
Argentina,1996,9838.496079028795,62.31515468595069,81.17647951513061,28.31809216468459,19.19669248034387,9.12139968434072,-18.86132482917992,South America
Argentina,1997,11268.12560956963,63.81854570323729,80.92803435997834,50.41986740582306,44.32759202235565,6.09227538346741,-17.10948865674105,South America
Argentina,1998,9495.25608118486,63.11065309495969,80.84284199449228,43.1261142176991,36.89189269591088,6.234221521788214,-17.732188899532588,South America
Argentina,1999,10402.67120018949,64.06230971177179,80.58864300755201,37.13480415791243,34.31631965841717,2.8184844994952556,-16.52633329578022,South America
Argentina,2000,8148.161529313186,63.91249058965401,81.15769314828954,15.79345297625649,0.0,15.79345297625649,-17.245202558635526,South America
Argentina,2001,10222.39920906297,63.41623753795434,81.24528351382175,45.66223936114975,30.4465383888118,15.215700972337952,-17.82904597586741,South America
Argentina,2002,8921.097498091922,65.30757731911082,80.61525136889132,41.82052056318902,35.53340094166249,6.287119621526529,-15.307674049780502,South America
Argentina,2003,9668.658374801471,62.87390225689032,80.65459111180216,50.40601897822085,37.73794384801238,12.668075130208472,-17.780688854911844,South America
Argentina,2004,13601.47848129176,64.30736025907238,80.94403459859798,31.35538943131282,14.99509411286295,16.36029531844987,-16.636674339525598,South America
Argentina,2005,5063.838616485734,63.79418816424187,80.77271367493745,45.15094794475889,37.87835589717301,7.272592047585881,-16.978525510695576,South America
Argentina,2006,10602.57512969513,63.61215379004167,80.38931722381447,35.13395116144308,34.10437613644329,1.0295750249997866,-16.777163433772806,South America
Argentina,2007,9682.02827476379,63.41068008212755,80.99331489966752,46.41081743059298,39.05515477620791,7.355662654385071,-17.582634817539976,South America
Argentina,2008,12083.29998348841,63.18110878303261,80.91443709498691,39.54464715941209,25.99335992256644,13.551287236845646,-17.733328311954295,South America
Argentina,2009,16106.14539595057,63.00999242395984,81.05226942012615,15.67367606202945,0.0,15.67367606202945,-18.042276996166315,South America
